#type,size,gDim,bDim,time,bw in GB/s
Copy_register->shared,40000,   1,   5,4.64142e-056,0.8618
Copy_register->shared,48000,   1,   5,4.64143e-056,1.034
Copy_register->shared,1000,   2,   5,5.97921e-066,0.3345
Copy_register->shared,8000,   2,   5,3.66288e-056,0.4368
Copy_register->shared,16000,   2,   5,4.71405e-056,0.6788
Copy_register->shared,24000,   2,   5,4.68921e-056,1.024
Copy_register->shared,32000,   2,   5,4.54318e-056,1.409
Copy_register->shared,40000,   2,   5,4.54053e-056,1.762
Copy_register->shared,48000,   2,   5,4.54331e-056,2.113
Copy_register->shared,1000,   3,   5,4.45346e-066,0.6736
Copy_register->shared,8000,   3,   5,2.45371e-056,0.9781
Copy_register->shared,16000,   3,   5,4.60403e-056,1.043
Copy_register->shared,24000,   3,   5,4.54466e-056,1.584
Copy_register->shared,32000,   3,   5,4.54459e-056,2.112
Copy_register->shared,40000,   3,   5,4.54343e-056,2.641
Copy_register->shared,48000,   3,   5,4.54224e-056,3.17
Copy_register->shared,1000,   4,   5,3.76362e-066,1.063
Copy_register->shared,8000,   4,   5,1.86405e-056,1.717
Copy_register->shared,16000,   4,   5,3.67124e-056,1.743
Copy_register->shared,24000,   4,   5,4.54378e-056,2.113
Copy_register->shared,32000,   4,   5,4.54469e-056,2.816
Copy_register->shared,40000,   4,   5,4.54164e-056,3.523
Copy_register->shared,48000,   4,   5,4.53948e-056,4.23
Copy_register->shared,1000,   5,   5,3.24237e-066,1.542
Copy_register->shared,8000,   5,   5,1.52239e-056,2.627
Copy_register->shared,16000,   5,   5,2.89607e-056,2.762
Copy_register->shared,24000,   5,   5,4.3555e-056,2.755
Copy_register->shared,32000,   5,   5,4.53681e-056,3.527
Copy_register->shared,40000,   5,   5,4.53685e-056,4.408
Copy_register->shared,48000,   5,   5,4.53692e-056,5.29
Copy_register->shared,1000,  10,   5,2.77515e-066,3.603
Copy_register->shared,8000,  10,   5,8.37034e-066,9.558
Copy_register->shared,16000,  10,   5,1.52794e-056,10.47
Copy_register->shared,24000,  10,   5,2.20533e-056,10.88
Copy_register->shared,32000,  10,   5,2.89423e-056,11.06
Copy_register->shared,40000,  10,   5,3.58299e-056,11.16
Copy_register->shared,48000,  10,   5,4.26317e-056,11.26
Copy_register->shared,1000,  20,   5,2.83991e-066,7.042
Copy_register->shared,8000,  20,   5,4.95886e-066,32.27
Copy_register->shared,16000,  20,   5,8.40681e-066,38.06
Copy_register->shared,24000,  20,   5,1.18055e-056,40.66
Copy_register->shared,32000,  20,   5,1.52923e-056,41.85
Copy_register->shared,40000,  20,   5,1.86732e-056,42.84
Copy_register->shared,48000,  20,   5,2.20273e-056,43.58
Copy_register->shared,1000,  30,   5,2.8308e-066,10.6
Copy_register->shared,8000,  30,   5,3.89977e-066,61.54
Copy_register->shared,16000,  30,   5,6.1579e-066,77.95
Copy_register->shared,24000,  30,   5,8.39e-066,85.82
Copy_register->shared,32000,  30,   5,1.07333e-056,89.44
Copy_register->shared,40000,  30,   5,2.36202e-056,50.8
Copy_register->shared,48000,  30,   5,2.81199e-056,51.21
Copy_register->shared,1000,  40,   5,2.74433e-066,14.58
Copy_register->shared,8000,  40,   5,3.27985e-066,97.57
Copy_register->shared,16000,  40,   5,4.99096e-066,128.2
Copy_register->shared,24000,  40,   5,6.68332e-066,143.6
Copy_register->shared,32000,  40,   5,1.48899e-056,85.96
Copy_register->shared,40000,  40,   5,1.88186e-056,85.02
Copy_register->shared,48000,  40,   5,2.16919e-056,88.51
Copy_register->shared,1000,  50,   5,2.69099e-066,18.58
Copy_register->shared,8000,  50,   5,2.93454e-066,136.3
Copy_register->shared,16000,  50,   5,4.2506e-066,188.2
Copy_register->shared,24000,  50,   5,5.62152e-066,213.5
Copy_register->shared,32000,  50,   5,1.22812e-056,130.3
Copy_register->shared,40000,  50,   5,1.52273e-056,131.3
Copy_register->shared,48000,  50,   5,1.78975e-056,134.1
Copy_register->shared,1000,  60,   5,2.75532e-066,21.78
Copy_register->shared,8000,  60,   5,2.75933e-066, 174
Copy_register->shared,16000,  60,   5,3.93479e-066, 244
Copy_register->shared,24000,  60,   5,6.4439e-066,223.5
Copy_register->shared,32000,  60,   5,1.05361e-056,182.2
Copy_register->shared,40000,  60,   5,1.57133e-056,152.7
Copy_register->shared,48000,  60,   5,1.79972e-056, 160
Copy_register->shared,1000,   1,  10,5.85317e-066,0.1708
Copy_register->shared,8000,   1,  10,3.60345e-056,0.222
Copy_register->shared,16000,   1,  10,4.5909e-056,0.3485
Copy_register->shared,24000,   1,  10,4.56568e-056,0.5257
Copy_register->shared,32000,   1,  10,4.56112e-056,0.7016
Copy_register->shared,40000,   1,  10,4.56552e-056,0.8761
Copy_register->shared,48000,   1,  10,4.57257e-056,1.05
Copy_register->shared,1000,   2,  10,3.80826e-066,0.5252
Copy_register->shared,8000,   2,  10,1.87817e-056,0.8519
Copy_register->shared,16000,   2,  10,3.59912e-056,0.8891
Copy_register->shared,24000,   2,  10,4.64635e-056,1.033
Copy_register->shared,32000,   2,  10,4.56154e-056,1.403
Copy_register->shared,40000,   2,  10,4.56227e-056,1.754
Copy_register->shared,48000,   2,  10,4.58914e-056,2.092
Copy_register->shared,1000,   3,  10,3.08544e-066,0.9723
Copy_register->shared,8000,   3,  10,1.30748e-056,1.836
Copy_register->shared,16000,   3,  10,2.46173e-056,1.95
Copy_register->shared,24000,   3,  10,3.60642e-056,1.996
Copy_register->shared,32000,   3,  10,4.56556e-056,2.103
Copy_register->shared,40000,   3,  10,4.5645e-056,2.629
Copy_register->shared,48000,   3,  10,4.60289e-056,3.128
Copy_register->shared,1000,   4,  10,2.76424e-066,1.447
Copy_register->shared,8000,   4,  10,1.01244e-056,3.161
Copy_register->shared,16000,   4,  10,1.87503e-056,3.413
Copy_register->shared,24000,   4,  10,2.73675e-056,3.508
Copy_register->shared,32000,   4,  10,3.60178e-056,3.554
Copy_register->shared,40000,   4,  10,4.45881e-056,3.588
Copy_register->shared,48000,   4,  10,4.56066e-056,4.21
Copy_register->shared,1000,   5,  10,2.85876e-066,1.749
Copy_register->shared,8000,   5,  10,8.43125e-066,4.744
Copy_register->shared,16000,   5,  10,1.52651e-056,5.241
Copy_register->shared,24000,   5,  10,2.2168e-056,5.413
Copy_register->shared,32000,   5,  10,2.90934e-056, 5.5
Copy_register->shared,40000,   5,  10,3.59818e-056,5.558
Copy_register->shared,48000,   5,  10,4.2833e-056,5.603
Copy_register->shared,1000,  10,  10,2.71851e-066,3.678
Copy_register->shared,8000,  10,  10,4.97563e-066,16.08
Copy_register->shared,16000,  10,  10,8.40485e-066,19.04
Copy_register->shared,24000,  10,  10,1.18619e-056,20.23
Copy_register->shared,32000,  10,  10,1.53514e-056,20.84
Copy_register->shared,40000,  10,  10,1.87451e-056,21.34
Copy_register->shared,48000,  10,  10,2.21493e-056,21.67
Copy_register->shared,1000,  20,  10,2.80471e-066,7.131
Copy_register->shared,8000,  20,  10,3.25793e-066,49.11
Copy_register->shared,16000,  20,  10,4.9769e-066,64.3
Copy_register->shared,24000,  20,  10,6.69235e-066,71.72
Copy_register->shared,32000,  20,  10,8.72783e-066,73.33
Copy_register->shared,40000,  20,  10,1.01208e-056,79.04
Copy_register->shared,48000,  20,  10,1.19019e-056,80.66
Copy_register->shared,1000,  30,  10,2.80487e-066,10.7
Copy_register->shared,8000,  30,  10,2.9025e-066,82.69
Copy_register->shared,16000,  30,  10,3.89389e-066,123.3
Copy_register->shared,24000,  30,  10,4.95991e-066,145.2
Copy_register->shared,32000,  30,  10,6.15863e-066,155.9
Copy_register->shared,40000,  30,  10,1.26334e-056,94.99
Copy_register->shared,48000,  30,  10,1.49709e-056,96.19
Copy_register->shared,1000,  40,  10,2.80307e-066,14.27
Copy_register->shared,8000,  40,  10,2.9315e-066,109.2
Copy_register->shared,16000,  40,  10,3.23404e-066,197.9
Copy_register->shared,24000,  40,  10,4.14279e-066,231.7
Copy_register->shared,32000,  40,  10,8.25321e-066,155.1
Copy_register->shared,40000,  40,  10,1.00227e-056,159.6
Copy_register->shared,48000,  40,  10,1.16951e-056,164.2
Copy_register->shared,1000,  50,  10,2.77353e-066,18.03
Copy_register->shared,8000,  50,  10,2.59741e-066, 154
Copy_register->shared,16000,  50,  10,2.90066e-066,275.8
Copy_register->shared,24000,  50,  10,3.57451e-066,335.7
Copy_register->shared,32000,  50,  10,6.96596e-066,229.7
Copy_register->shared,40000,  50,  10,8.46176e-066,236.4
Copy_register->shared,48000,  50,  10,9.78573e-066,245.3
Copy_register->shared,1000,  60,  10,2.75473e-066,21.78
Copy_register->shared,8000,  60,  10,2.73316e-066,175.6
Copy_register->shared,16000,  60,  10,2.93668e-066,326.9
Copy_register->shared,24000,  60,  10,4.05793e-066,354.9
Copy_register->shared,32000,  60,  10,6.0454e-066,317.6
Copy_register->shared,40000,  60,  10,8.53042e-066,281.3
Copy_register->shared,48000,  60,  10,9.92343e-066,290.2
Copy_register->shared,1000,   1,  20,3.84367e-066,0.2602
Copy_register->shared,8000,   1,  20,1.89282e-056,0.4226
Copy_register->shared,16000,   1,  20,3.63743e-056,0.4399
Copy_register->shared,24000,   1,  20,4.68901e-056,0.5118
Copy_register->shared,32000,   1,  20,4.61259e-056,0.6938
Copy_register->shared,40000,   1,  20,4.61356e-056,0.867
Copy_register->shared,48000,   1,  20,4.61418e-056,1.04
Copy_register->shared,1000,   2,  20,2.77349e-066,0.7211
Copy_register->shared,8000,   2,  20,1.01993e-056,1.569
Copy_register->shared,16000,   2,  20,1.89187e-056,1.691
Copy_register->shared,24000,   2,  20,2.76761e-056,1.734
Copy_register->shared,32000,   2,  20,3.6386e-056,1.759
Copy_register->shared,40000,   2,  20,4.50946e-056,1.774
Copy_register->shared,48000,   2,  20,4.61287e-056,2.081
Copy_register->shared,1000,   3,  20,2.78257e-066,1.078
Copy_register->shared,8000,   3,  20,7.46941e-066,3.213
Copy_register->shared,16000,   3,  20,1.31609e-056,3.647
Copy_register->shared,24000,   3,  20,1.89092e-056,3.808
Copy_register->shared,32000,   3,  20,2.48991e-056,3.856
Copy_register->shared,40000,   3,  20,3.06187e-056,3.919
Copy_register->shared,48000,   3,  20,3.63595e-056,3.96
Copy_register->shared,1000,   4,  20,2.81445e-066,1.421
Copy_register->shared,8000,   4,  20,5.85427e-066,5.466
Copy_register->shared,16000,   4,  20,1.01965e-056,6.277
Copy_register->shared,24000,   4,  20,1.45498e-056,6.598
Copy_register->shared,32000,   4,  20,1.89794e-056,6.744
Copy_register->shared,40000,   4,  20,2.32795e-056,6.873
Copy_register->shared,48000,   4,  20,2.76688e-056,6.939
Copy_register->shared,1000,   5,  20,2.72592e-066,1.834
Copy_register->shared,8000,   5,  20,4.99436e-066,8.009
Copy_register->shared,16000,   5,  20,8.48612e-066,9.427
Copy_register->shared,24000,   5,  20,1.20455e-056,9.962
Copy_register->shared,32000,   5,  20,1.54772e-056,10.34
Copy_register->shared,40000,   5,  20,1.89073e-056,10.58
Copy_register->shared,48000,   5,  20,2.24121e-056,10.71
Copy_register->shared,1000,  10,  20,2.78466e-066,3.591
Copy_register->shared,8000,  10,  20,3.27346e-066,24.44
Copy_register->shared,16000,  10,  20,4.96279e-066,32.24
Copy_register->shared,24000,  10,  20,6.74116e-066,35.6
Copy_register->shared,32000,  10,  20,8.45752e-066,37.84
Copy_register->shared,40000,  10,  20,1.02148e-056,39.16
Copy_register->shared,48000,  10,  20,1.19332e-056,40.22
Copy_register->shared,1000,  20,  20,2.64556e-066,7.56
Copy_register->shared,8000,  20,  20,2.68751e-066,59.53
Copy_register->shared,16000,  20,  20,3.24449e-066,98.63
Copy_register->shared,24000,  20,  20,4.15372e-066,115.6
Copy_register->shared,32000,  20,  20,5.00437e-066,127.9
Copy_register->shared,40000,  20,  20,5.85256e-066,136.7
