#type,size,gDim,bDim,stride,modulo,clock
Shared_memory_bank_conflict_test, 512,   1,  16,  20,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  21,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  22,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  23,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  24,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  25,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  26,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  27,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  28,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  29,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  30,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  31,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  32,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  33,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  34,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  35,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  36,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  37,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  38,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  39,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  40,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  41,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  42,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  43,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  44,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  45,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  46,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  47,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  48,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  49,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  50,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  51,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  52,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  53,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  54,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  55,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  56,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  57,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  58,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  59,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  60,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  61,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  62,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  63,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  64,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,   1,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,   2,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,   3,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,   4,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,   5,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,   6,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,   7,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,   8,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,   9,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  10,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  11,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  12,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  13,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  14,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  15,32768, 108
