#type,size,gDim,bDim,time,bw in GB/s
Copy_shared->register,1000,  20,   5,2.64003e-066,7.576
Copy_shared->register,8000,  20,   5,3.1406e-066,50.95
Copy_shared->register,16000,  20,   5,4.10389e-066,77.97
Copy_shared->register,24000,  20,   5,5.03029e-066,95.42
Copy_shared->register,32000,  20,   5,6.00011e-066,106.7
Copy_shared->register,40000,  20,   5,6.98179e-066,114.6
Copy_shared->register,48000,  20,   5,8.01276e-066,119.8
Copy_shared->register,1000,  30,   5,2.67626e-066,11.21
Copy_shared->register,8000,  30,   5,2.82102e-066,85.08
Copy_shared->register,16000,  30,   5,3.49125e-066,137.5
Copy_shared->register,24000,  30,   5,4.11763e-066,174.9
Copy_shared->register,32000,  30,   5,4.80163e-066,199.9
Copy_shared->register,40000,  30,   5,8.69488e-066, 138
Copy_shared->register,48000,  30,   5,1.00402e-056,143.4
Copy_shared->register,1000,  40,   5,2.79223e-066,14.33
Copy_shared->register,8000,  40,   5,2.6809e-066,119.4
Copy_shared->register,16000,  40,   5,3.15573e-066,202.8
Copy_shared->register,24000,  40,   5,3.58969e-066,267.4
Copy_shared->register,32000,  40,   5,6.18897e-066,206.8
Copy_shared->register,40000,  40,   5,7.16351e-066,223.4
Copy_shared->register,48000,  40,   5,8.07991e-066,237.6
Copy_shared->register,1000,  50,   5,2.75133e-066,18.17
Copy_shared->register,8000,  50,   5,2.73637e-066,146.2
Copy_shared->register,16000,  50,   5,2.95097e-066,271.1
Copy_shared->register,24000,  50,   5,3.34954e-066,358.3
Copy_shared->register,32000,  50,   5,5.41513e-066,295.5
Copy_shared->register,40000,  50,   5,6.23956e-066,320.5
Copy_shared->register,48000,  50,   5,6.97545e-066,344.1
Copy_shared->register,1000,  60,   5,2.86947e-066,20.91
Copy_shared->register,8000,  60,   5,2.80442e-066,171.2
Copy_shared->register,16000,  60,   5,2.8162e-066,340.9
Copy_shared->register,24000,  60,   5,4.12284e-066,349.3
Copy_shared->register,32000,  60,   5,4.86642e-066,394.5
Copy_shared->register,40000,  60,   5,7.36368e-066,325.9
Copy_shared->register,48000,  60,   5,8.32689e-066,345.9
Copy_shared->register,1000,   1,  10,3.41138e-066,0.2931
Copy_shared->register,8000,   1,  10,1.18921e-056,0.6727
Copy_shared->register,16000,   1,  10,1.46091e-056,1.095
Copy_shared->register,24000,   1,  10,1.48419e-056,1.617
Copy_shared->register,32000,   1,  10,1.46014e-056,2.192
Copy_shared->register,40000,   1,  10,1.45665e-056,2.746
Copy_shared->register,48000,   1,  10,1.44896e-056,3.313
Copy_shared->register,1000,   2,  10,2.81593e-066,0.7102
Copy_shared->register,8000,   2,  10,6.99346e-066,2.288
Copy_shared->register,16000,   2,  10,1.18829e-056,2.693
Copy_shared->register,24000,   2,  10,1.45268e-056,3.304
Copy_shared->register,32000,   2,  10,1.45141e-056,4.41
Copy_shared->register,40000,   2,  10,1.4592e-056,5.482
Copy_shared->register,48000,   2,  10,1.45615e-056,6.593
Copy_shared->register,1000,   3,  10,2.71271e-066,1.106
Copy_shared->register,8000,   3,  10,5.43477e-066,4.416
Copy_shared->register,16000,   3,  10,8.60483e-066,5.578
Copy_shared->register,24000,   3,  10,1.17861e-056,6.109
Copy_shared->register,32000,   3,  10,1.46123e-056,6.57
Copy_shared->register,40000,   3,  10,1.45691e-056,8.237
Copy_shared->register,48000,   3,  10,1.49309e-056,9.644
Copy_shared->register,1000,   4,  10,2.6942e-066,1.485
Copy_shared->register,8000,   4,  10,4.56779e-066,7.006
Copy_shared->register,16000,   4,  10,6.96996e-066,9.182
Copy_shared->register,24000,   4,  10,9.42531e-066,10.19
Copy_shared->register,32000,   4,  10,1.17894e-056,10.86
Copy_shared->register,40000,   4,  10,1.43004e-056,11.19
Copy_shared->register,48000,   4,  10,1.4523e-056,13.22
Copy_shared->register,1000,   5,  10,2.70073e-066,1.851
Copy_shared->register,8000,   5,  10,4.0928e-066,9.773
Copy_shared->register,16000,   5,  10,6.02252e-066,13.28
Copy_shared->register,24000,   5,  10,7.91075e-066,15.17
Copy_shared->register,32000,   5,  10,9.93883e-066,16.1
Copy_shared->register,40000,   5,  10,1.18173e-056,16.92
Copy_shared->register,48000,   5,  10,1.40127e-056,17.13
Copy_shared->register,1000,  10,  10,2.72612e-066,3.668
Copy_shared->register,8000,  10,  10,3.12149e-066,25.63
Copy_shared->register,16000,  10,  10,4.08819e-066,39.14
Copy_shared->register,24000,  10,  10,5.05168e-066,47.51
Copy_shared->register,32000,  10,  10,6.03762e-066,  53
Copy_shared->register,40000,  10,  10,7.00868e-066,57.07
Copy_shared->register,48000,  10,  10,7.97764e-066,60.17
Copy_shared->register,1000,  20,  10,2.68391e-066,7.452
Copy_shared->register,8000,  20,  10,2.64138e-066,60.57
Copy_shared->register,16000,  20,  10,3.13962e-066,101.9
Copy_shared->register,24000,  20,  10,3.54862e-066,135.3
Copy_shared->register,32000,  20,  10,4.11879e-066,155.4
Copy_shared->register,40000,  20,  10,4.54193e-066,176.1
Copy_shared->register,48000,  20,  10,5.09054e-066,188.6
Copy_shared->register,1000,  30,  10,2.76869e-066,10.84
Copy_shared->register,8000,  30,  10,2.69547e-066,89.04
Copy_shared->register,16000,  30,  10,2.79856e-066,171.5
Copy_shared->register,24000,  30,  10,3.1467e-066,228.8
Copy_shared->register,32000,  30,  10,3.43699e-066,279.3
Copy_shared->register,40000,  30,  10,5.44154e-066,220.5
Copy_shared->register,48000,  30,  10,6.11994e-066,235.3
Copy_shared->register,1000,  40,  10,2.74454e-066,14.57
Copy_shared->register,8000,  40,  10,2.68712e-066,119.1
Copy_shared->register,16000,  40,  10,2.65415e-066,241.1
Copy_shared->register,24000,  40,  10,4.32837e-066,221.8
Copy_shared->register,32000,  40,  10,4.20363e-066,304.5
Copy_shared->register,40000,  40,  10,4.69541e-066,340.8
Copy_shared->register,48000,  40,  10,5.19574e-066,369.5
Copy_shared->register,1000,  50,  10,2.66778e-066,18.74
Copy_shared->register,8000,  50,  10,2.62455e-066,152.4
Copy_shared->register,16000,  50,  10,2.77269e-066,288.5
Copy_shared->register,24000,  50,  10,2.73442e-066,438.9
Copy_shared->register,32000,  50,  10,3.82242e-066,418.6
Copy_shared->register,40000,  50,  10,4.2548e-066,470.1
Copy_shared->register,48000,  50,  10,4.68242e-066,512.6
Copy_shared->register,1000,  60,  10,2.62667e-066,22.84
Copy_shared->register,8000,  60,  10,2.62769e-066,182.7
Copy_shared->register,16000,  60,  10,2.70806e-066,354.5
Copy_shared->register,24000,  60,  10,3.14942e-066,457.2
Copy_shared->register,32000,  60,  10,3.56086e-066,539.2
Copy_shared->register,40000,  60,  10,4.87998e-066,491.8
Copy_shared->register,48000,  60,  10,5.42048e-066,531.3
Copy_shared->register,1000,   1,  20,2.84264e-066,0.3518
Copy_shared->register,8000,   1,  20,7.02126e-066,1.139
Copy_shared->register,16000,   1,  20,1.18835e-056,1.346
Copy_shared->register,24000,   1,  20,1.45305e-056,1.652
Copy_shared->register,32000,   1,  20,1.45244e-056,2.203
Copy_shared->register,40000,   1,  20,1.48842e-056,2.687
Copy_shared->register,48000,   1,  20,1.45986e-056,3.288
Copy_shared->register,1000,   2,  20,2.72515e-066,0.7339
Copy_shared->register,8000,   2,  20,4.58067e-066,3.493
Copy_shared->register,16000,   2,  20,6.95219e-066,4.603
Copy_shared->register,24000,   2,  20,9.37132e-066,5.122
Copy_shared->register,32000,   2,  20,1.18644e-056,5.394
Copy_shared->register,40000,   2,  20,1.42194e-056,5.626
Copy_shared->register,48000,   2,  20,1.46127e-056,6.57
Copy_shared->register,1000,   3,  20,2.68911e-066,1.116
