#type        ,size ,stride_offset,gDim,bDim,time(s)    ,bandwidth(GB/s)
global-offset,61   ,5            ,5   ,3   ,1.12726e-05,0.000620975
global-offset,61   ,6            ,5   ,3   ,1.12097e-05,0.000624459
global-offset,61   ,7            ,5   ,3   ,1.63361e-05,0.000428499
global-offset,61   ,8            ,5   ,3   ,9.8896e-06 ,0.000707814
global-offset,61   ,9            ,5   ,3   ,9.7081e-06 ,0.000721047
global-offset,61   ,10           ,5   ,3   ,1.14192e-05,0.000613003
global-offset,121  ,2            ,10  ,3   ,9.6173e-06 ,0.00155969
global-offset,121  ,3            ,10  ,3   ,1.22783e-05,0.00122167
global-offset,121  ,4            ,10  ,3   ,1.0616e-05 ,0.00141296
global-offset,121  ,5            ,10  ,3   ,6.8586e-06 ,0.00218704
global-offset,121  ,6            ,10  ,3   ,1.05322e-05,0.0014242
global-offset,121  ,7            ,10  ,3   ,1.13285e-05,0.00132409
global-offset,121  ,8            ,10  ,3   ,1.20199e-05,0.00124793
global-offset,121  ,9            ,10  ,3   ,9.7989e-06 ,0.00153078
global-offset,121  ,10           ,10  ,3   ,1.13145e-05,0.00132573
global-offset,241  ,2            ,20  ,3   ,1.27672e-05,0.00234977
global-offset,241  ,3            ,20  ,3   ,1.05113e-05,0.00285407
global-offset,241  ,4            ,20  ,3   ,1.16567e-05,0.00257363
global-offset,241  ,5            ,20  ,3   ,1.13703e-05,0.00263845
global-offset,241  ,6            ,20  ,3   ,6.6281e-06 ,0.00452618
global-offset,241  ,7            ,20  ,3   ,9.6872e-06 ,0.00309687
global-offset,241  ,8            ,20  ,3   ,8.4788e-06 ,0.00353824
global-offset,241  ,9            ,20  ,3   ,1.14891e-05,0.00261117
global-offset,241  ,10           ,20  ,3   ,1.14472e-05,0.00262073
global-offset,385  ,2            ,32  ,3   ,1.08745e-05,0.004414
global-offset,385  ,3            ,32  ,3   ,1.13634e-05,0.00422409
global-offset,385  ,4            ,32  ,3   ,1.15449e-05,0.00415768
global-offset,385  ,5            ,32  ,3   ,1.1559e-05 ,0.00415261
global-offset,385  ,6            ,32  ,3   ,1.09374e-05,0.00438861
global-offset,385  ,7            ,32  ,3   ,1.14751e-05,0.00418297
global-offset,385  ,8            ,32  ,3   ,1.31583e-05,0.00364789
global-offset,385  ,9            ,32  ,3   ,1.12167e-05,0.00427933
global-offset,385  ,10           ,32  ,3   ,1.08745e-05,0.004414
global-offset,21   ,2            ,1   ,5   ,9.4078e-06 ,0.00021259
global-offset,21   ,3            ,1   ,5   ,1.52536e-05,0.000131117
global-offset,21   ,4            ,1   ,5   ,1.14052e-05,0.000175359
global-offset,21   ,5            ,1   ,5   ,1.1063e-05 ,0.000180783
global-offset,21   ,6            ,1   ,5   ,8.5557e-06 ,0.000233762
global-offset,21   ,7            ,1   ,5   ,1.07418e-05,0.000186189
global-offset,21   ,8            ,1   ,5   ,1.14053e-05,0.000175357
global-offset,21   ,9            ,1   ,5   ,1.05671e-05,0.000189267
global-offset,21   ,10           ,1   ,5   ,1.17615e-05,0.000170046
global-offset,41   ,2            ,2   ,5   ,1.05672e-05,0.000473162
global-offset,41   ,3            ,2   ,5   ,7.6618e-06 ,0.000652588
global-offset,41   ,4            ,2   ,5   ,7.4522e-06 ,0.000670943
global-offset,41   ,5            ,2   ,5   ,1.10072e-05,0.000454248
global-offset,41   ,6            ,2   ,5   ,1.107e-05  ,0.000451671
global-offset,41   ,7            ,2   ,5   ,1.39406e-05,0.000358665
global-offset,41   ,8            ,2   ,5   ,1.09373e-05,0.000457151
global-offset,41   ,9            ,2   ,5   ,1.09792e-05,0.000455407
global-offset,41   ,10           ,2   ,5   ,7.8992e-06 ,0.000632975
global-offset,61   ,2            ,3   ,5   ,1.14052e-05,0.000613755
global-offset,61   ,3            ,3   ,5   ,1.11399e-05,0.000628372
global-offset,61   ,4            ,3   ,5   ,1.07837e-05,0.000649128
global-offset,61   ,5            ,3   ,5   ,9.9526e-06 ,0.000703334
global-offset,61   ,6            ,3   ,5   ,1.11818e-05,0.000626017
global-offset,61   ,7            ,3   ,5   ,1.09653e-05,0.000638377
