#N_elem,N_iter,N_block,dtype,method,t_tot,t_copy,t_exec,t_backcopy
4096,2000,1024,uint32_t,cuda_naive,40716281,104414,40590355,18089
4096,2000,1024,uint32_t,cuda_shared,32355830,104693,32230044,17670
4096,2000,1024,float,cuda_naive,40673608,104344,40546076,19835
4096,2000,1024,float,cuda_shared,32192888,104484,32067381,17740
4096,2000,1024,double,cuda_naive,43344440,106230,43216140,18648
4096,2000,1024,double,cuda_shared,34804564,106998,34674449,19765
4096,2000,1,float,thrust,299972,174466,121385,1397
4096,2000,1,float,std::accumulate,809959,174466,121385,1397
4096,2000,1,float,cpu,7395862,174466,121385,1397
4096,2000,1,float,cpu_seq,805279,174466,121385,1397
8192,2000,32,uint16_t,cuda_naive,23508509,108325,23373295,18019
8192,2000,32,uint16_t,cuda_shared,20343404,105881,20216221,17879
8192,2000,32,uint32_t,cuda_naive,23666213,106928,23538122,17740
8192,2000,32,uint32_t,cuda_shared,20539241,115729,20402699,17461
8192,2000,32,float,cuda_naive,23631152,106439,23503481,17809
8192,2000,32,float,cuda_shared,20396274,106928,20268254,17740
8192,2000,32,double,cuda_naive,23602587,117754,23463461,18019
8192,2000,32,double,cuda_shared,20277822,110350,20146589,17530
8192,2000,64,uint16_t,cuda_naive,23418203,104763,23290322,19695
8192,2000,64,uint16_t,cuda_shared,20418833,104344,20293466,17740
8192,2000,64,uint32_t,cuda_naive,23629406,106718,23499709,19556
8192,2000,64,uint32_t,cuda_shared,20523946,113913,20389290,17390
8192,2000,64,float,cuda_naive,23528972,106230,23401232,18089
8192,2000,64,float,cuda_shared,20427075,106579,20299543,17530
8192,2000,64,double,cuda_naive,23458641,110072,23326919,18229
8192,2000,64,double,cuda_shared,20364077,110700,20232425,17600
8192,2000,128,uint16_t,cuda_naive,26265178,111957,26130312,19556
8192,2000,128,uint16_t,cuda_shared,21841168,103995,21716081,17670
8192,2000,128,uint32_t,cuda_naive,26527923,106020,26400043,18438
8192,2000,128,uint32_t,cuda_shared,21641280,107348,21512840,17670
8192,2000,128,float,cuda_naive,26361001,106160,26233329,18090
8192,2000,128,float,cuda_shared,21104543,106090,20977431,17670
8192,2000,128,double,cuda_naive,28674172,110211,28540633,19836
8192,2000,128,double,cuda_shared,23317141,110700,23185350,17740
8192,2000,256,uint16_t,cuda_naive,31744641,104204,31617459,19556
8192,2000,256,uint16_t,cuda_shared,23654898,103576,23530369,17531
8192,2000,256,uint32_t,cuda_naive,31271488,106369,31143677,18019
8192,2000,256,uint32_t,cuda_shared,23722459,106160,23595486,17391
8192,2000,256,float,cuda_naive,31612880,106161,31483882,19416
8192,2000,256,float,cuda_shared,23670776,105881,23543942,17530
8192,2000,256,double,cuda_naive,31928707,110490,31796217,18578
8192,2000,256,double,cuda_shared,23850829,110350,23719317,17740
8192,2000,512,uint16_t,cuda_naive,37619030,104344,37493104,18159
8192,2000,512,uint16_t,cuda_shared,29034307,104973,28908312,17670
8192,2000,512,uint32_t,cuda_naive,37762905,106440,37634953,18089
8192,2000,512,uint32_t,cuda_shared,29287205,106510,29159673,17601
8192,2000,512,float,cuda_naive,37737621,106370,37609531,18299
8192,2000,512,float,cuda_shared,29019430,105880,28892318,17810
8192,2000,512,double,cuda_naive,37679653,118033,37540038,18229
8192,2000,512,double,cuda_shared,29002109,110491,28870597,17670
8192,2000,1024,uint16_t,cuda_naive,49145087,104693,49018673,18298
8192,2000,1024,uint16_t,cuda_shared,34880587,104274,34755151,17879
8192,2000,1024,uint32_t,cuda_naive,49109467,106719,48980957,18369
8192,2000,1024,uint32_t,cuda_shared,35270935,106230,35143473,17810
8192,2000,1024,float,cuda_naive,49098432,106300,48970481,18299
8192,2000,1024,float,cuda_shared,35112672,106091,34985699,17531
8192,2000,1024,double,cuda_naive,49156750,110490,49024539,18299
8192,2000,1024,double,cuda_shared,37571118,110420,37439047,18229
8192,2000,1,float,thrust,431206,187805,239140,1467
8192,2000,1,float,std::accumulate,1625787,187805,239140,1467
8192,2000,1,float,cpu,15525011,187805,239140,1467
8192,2000,1,float,cpu_seq,1629837,187805,239140,1467
16384,2000,32,uint16_t,cuda_naive,25197038,110560,25064687,17949
16384,2000,32,uint16_t,cuda_shared,20394408,107278,20265829,17950
16384,2000,32,uint32_t,cuda_naive,26266321,110839,26134460,17600
16384,2000,32,uint32_t,cuda_shared,20511185,110211,20379881,17670
16384,2000,32,float,cuda_naive,26275959,110350,26144447,17740
16384,2000,32,float,cuda_shared,20456359,110560,20324357,18089
16384,2000,32,double,cuda_naive,26426260,131513,26273375,17950
16384,2000,32,double,cuda_shared,23432404,119570,23292092,17390
16384,2000,64,uint16_t,cuda_naive,23610427,106370,23482196,18438
16384,2000,64,uint16_t,cuda_shared,20358768,106719,20231168,17530
16384,2000,64,uint32_t,cuda_naive,23742620,110420,23610688,18089
16384,2000,64,uint32_t,cuda_shared,20468980,109792,20338375,17460
16384,2000,64,float,cuda_naive,23610898,110421,23479035,18089
