#niter 2000
#N_elem,N_block,dtype,method,t_tot
16384,64,float,cuda_shared,20840381
16384,64,double,cuda_naive,26570143
16384,64,double,cuda_shared,20869087
16384,128,uint16_t,cuda_naive,29677422
16384,128,uint16_t,cuda_shared,23728137
16384,128,uint32_t,cuda_naive,29676933
16384,128,uint32_t,cuda_shared,23794489
16384,128,float,cuda_naive,29652069
16384,128,float,cuda_shared,23762850
16384,128,double,cuda_naive,29656888
16384,128,double,cuda_shared,23774164
16384,256,uint16_t,cuda_naive,32660936
16384,256,uint16_t,cuda_shared,23790089
16384,256,uint32_t,cuda_naive,32668549
16384,256,uint32_t,cuda_shared,23972944
16384,256,float,cuda_naive,32617072
16384,256,float,cuda_shared,23855255
16384,256,double,cuda_naive,33094117
16384,256,double,cuda_shared,26783311
16384,512,uint16_t,cuda_naive,41525357
16384,512,uint16_t,cuda_shared,29718700
16384,512,uint32_t,cuda_naive,41770514
16384,512,uint32_t,cuda_shared,29981948
16384,512,float,cuda_naive,41652963
16384,512,float,cuda_shared,29817322
16384,512,double,cuda_naive,41585772
16384,512,double,cuda_shared,29803982
16384,1024,uint16_t,cuda_naive,54238464
16384,1024,uint16_t,cuda_shared,38811924
16384,1024,uint32_t,cuda_naive,53661348
16384,1024,uint32_t,cuda_shared,38826773
16384,1024,float,cuda_naive,53407181
16384,1024,float,cuda_shared,38948863
16384,1024,double,cuda_naive,56252608
16384,1024,double,cuda_shared,38807216
16384,0,float,thrust,682947
16384,0,float,std,14389
32768,32,uint16_t,cuda_naive,26793901
32768,32,uint16_t,cuda_shared,23733142
32768,32,uint32_t,cuda_naive,29022383
32768,32,uint32_t,cuda_shared,23830087
32768,32,float,cuda_naive,28838272
32768,32,float,cuda_shared,23756679
32768,32,double,cuda_naive,32494182
32768,32,double,cuda_shared,26773785
32768,64,uint16_t,cuda_naive,26756044
32768,64,uint16_t,cuda_shared,21321664
32768,64,uint32_t,cuda_naive,26796625
32768,64,uint32_t,cuda_shared,23455297
32768,64,float,cuda_naive,26599591
32768,64,float,cuda_shared,23647581
32768,64,double,cuda_naive,29681304
32768,64,double,cuda_shared,23779938
32768,128,uint16_t,cuda_naive,32495999
32768,128,uint16_t,cuda_shared,23789995
32768,128,uint32_t,cuda_naive,32589870
32768,128,uint32_t,cuda_shared,24024466
32768,128,float,cuda_naive,32557113
32768,128,float,cuda_shared,23925356
32768,128,double,cuda_naive,35059739
32768,128,double,cuda_shared,26758559
32768,256,uint16_t,cuda_naive,35570656
32768,256,uint16_t,cuda_shared,26825066
32768,256,uint32_t,cuda_naive,35608304
32768,256,uint32_t,cuda_shared,26911294
32768,256,float,cuda_naive,35521905
32768,256,float,cuda_shared,26711327
32768,256,double,cuda_naive,37501395
32768,256,double,cuda_shared,27317375
32768,512,uint16_t,cuda_naive,44566606
32768,512,uint16_t,cuda_shared,30150165
32768,512,uint32_t,cuda_naive,44782638
32768,512,uint32_t,cuda_shared,30305990
32768,512,float,cuda_naive,44701967
32768,512,float,cuda_shared,30222596
32768,512,double,cuda_naive,44822240
32768,512,double,cuda_shared,32806177
32768,1024,uint16_t,cuda_naive,60007889
32768,1024,uint16_t,cuda_shared,41678778
32768,1024,uint32_t,cuda_naive,59694283
32768,1024,uint32_t,cuda_shared,41771324
32768,1024,float,cuda_naive,59777399
