#method, iters, size, time(ns)
#Threads for eigen: 12
eigen, 1, 411, 9407226
eigen, 1, 412, 4742746
eigen, 1, 413, 5269767
eigen, 1, 414, 4985402
eigen, 1, 415, 4895334
eigen, 1, 416, 4947482
eigen, 1, 417, 5043983
eigen, 1, 418, 4997956
eigen, 1, 419, 9435149
eigen, 1, 420, 5129324
eigen, 1, 421, 5123763
eigen, 1, 422, 5322577
eigen, 1, 423, 5194126
eigen, 1, 424, 5258556
eigen, 1, 425, 5356150
eigen, 1, 426, 5324029
eigen, 1, 427, 10618694
eigen, 1, 428, 5527852
eigen, 1, 429, 5536960
eigen, 1, 430, 5732678
eigen, 1, 431, 5653990
eigen, 1, 432, 4794604
eigen, 1, 433, 4885365
eigen, 1, 434, 4919459
eigen, 1, 435, 5951049
eigen, 1, 436, 5010190
eigen, 1, 437, 4976447
eigen, 1, 438, 5058209
eigen, 1, 439, 5896206
eigen, 1, 440, 5779245
eigen, 1, 441, 5300696
eigen, 1, 442, 9917536
eigen, 1, 443, 5320233
eigen, 1, 444, 5440067
eigen, 1, 445, 5352814
eigen, 1, 446, 5443424
eigen, 1, 447, 7000331
eigen, 1, 448, 5522642
eigen, 1, 449, 10826284
eigen, 1, 450, 5586042
eigen, 1, 451, 5608594
eigen, 1, 452, 5677554
eigen, 1, 453, 5749460
eigen, 1, 454, 6196069
eigen, 1, 455, 5891306
eigen, 1, 456, 9231766
eigen, 1, 457, 15364257
eigen, 1, 458, 6058931
eigen, 1, 459, 6028345
eigen, 1, 460, 6048252
eigen, 1, 461, 6270018
eigen, 1, 462, 6177835
eigen, 1, 463, 6216888
eigen, 1, 464, 6425600
eigen, 1, 465, 6292531
eigen, 1, 466, 6360639
eigen, 1, 467, 6387398
eigen, 1, 468, 6484642
eigen, 1, 469, 6578528
eigen, 1, 470, 10132341
eigen, 1, 471, 6670420
eigen, 1, 472, 6671133
eigen, 1, 473, 6676432
eigen, 1, 474, 6747676
eigen, 1, 475, 6923787
eigen, 1, 476, 9714936
eigen, 1, 477, 6997827
eigen, 1, 478, 7016331
eigen, 1, 479, 14043724
eigen, 1, 480, 7027232
eigen, 1, 481, 6139984
eigen, 1, 482, 7546238
eigen, 1, 483, 6289194
eigen, 1, 484, 6312728
eigen, 1, 485, 8739080
eigen, 1, 486, 6404120
eigen, 1, 487, 6475455
eigen, 1, 488, 6551889
eigen, 1, 489, 7191129
eigen, 1, 490, 6666654
eigen, 1, 491, 8959966
eigen, 1, 492, 6810063
eigen, 1, 493, 7119525
eigen, 1, 494, 6932905
eigen, 1, 495, 6817989
eigen, 1, 496, 7009378
eigen, 1, 497, 7964694
eigen, 1, 498, 7244120
eigen, 1, 499, 7040356
eigen, 1, 500, 7277482
eigen, 1, 501, 7150032
eigen, 1, 502, 7361611
eigen, 1, 503, 9372412
eigen, 1, 504, 7591032
eigen, 1, 505, 7390625
eigen, 1, 506, 7594289
eigen, 1, 507, 7473701
eigen, 1, 508, 7709875
eigen, 1, 509, 8256624
eigen, 1, 510, 7952531
eigen, 1, 511, 7772342
eigen, 1, 512, 7876529
eigen, 1, 513, 7789134
eigen, 1, 514, 10195778
eigen, 1, 515, 8057298
eigen, 1, 516, 8257846
eigen, 1, 517, 8131419
eigen, 1, 518, 8365999
eigen, 1, 519, 12103476
eigen, 1, 520, 8840290
eigen, 1, 521, 8576064
eigen, 1, 522, 8557279
eigen, 1, 523, 8578889
eigen, 1, 524, 11512184
eigen, 1, 525, 8797289
eigen, 1, 526, 8880246
eigen, 1, 527, 9056617
eigen, 1, 528, 7894141
eigen, 1, 529, 8619826
eigen, 1, 530, 7989100
eigen, 1, 531, 7847204
eigen, 1, 532, 8202481
eigen, 1, 533, 8723481
eigen, 1, 534, 11969443
eigen, 1, 535, 8269508
eigen, 1, 536, 8372131
eigen, 1, 537, 8232308
eigen, 1, 538, 8408629
eigen, 1, 539, 11373843
eigen, 1, 540, 8688706
eigen, 1, 541, 8542481
eigen, 1, 542, 8730013
eigen, 1, 543, 8663578
eigen, 1, 544, 11395515
eigen, 1, 545, 9097675
eigen, 1, 546, 8952251
eigen, 1, 547, 9171694
eigen, 1, 548, 9150083
eigen, 1, 549, 9515960
eigen, 1, 550, 9609036
eigen, 1, 551, 9498167
eigen, 1, 552, 11641417
eigen, 1, 553, 9570513
eigen, 1, 554, 9693515
eigen, 1, 555, 9590030
eigen, 1, 556, 9796078
eigen, 1, 557, 9658278
eigen, 1, 558, 9823769
eigen, 1, 559, 9740043
eigen, 1, 560, 10087635
eigen, 1, 561, 9908249
eigen, 1, 562, 11028865
eigen, 1, 563, 10299334
eigen, 1, 564, 10407937
eigen, 1, 565, 10609888
eigen, 1, 566, 10711067
eigen, 1, 567, 10391337
eigen, 1, 568, 10777492
eigen, 1, 569, 12176903
eigen, 1, 570, 10972049
eigen, 1, 571, 11328869
eigen, 1, 572, 11221347
eigen, 1, 573, 11188195
eigen, 1, 574, 11228341
eigen, 1, 575, 11191291
eigen, 1, 576, 10795437
eigen, 1, 577, 10033524
eigen, 1, 578, 10261814
eigen, 1, 579, 11530117
eigen, 1, 580, 10609046
eigen, 1, 581, 10175490
eigen, 1, 582, 10283544
eigen, 1, 583, 10185470
eigen, 1, 584, 11019929
eigen, 1, 585, 10986836
eigen, 1, 586, 10891507
eigen, 1, 587, 11026781
eigen, 1, 588, 11051267
eigen, 1, 589, 11165582
eigen, 1, 590, 11076385
eigen, 1, 591, 11235383
eigen, 1, 592, 11061237
eigen, 1, 593, 11320643
eigen, 1, 594, 11207011
eigen, 1, 595, 11383342
eigen, 1, 596, 11557249
eigen, 1, 597, 11364976
eigen, 1, 598, 11550426
eigen, 1, 599, 11408960
eigen, 1, 600, 11687755
eigen, 1, 601, 11414200
eigen, 1, 602, 11608605
eigen, 1, 603, 11869665
eigen, 1, 604, 11930160
eigen, 1, 605, 11731496
eigen, 1, 606, 12030188
eigen, 1, 607, 12093166
eigen, 1, 608, 13154713
eigen, 1, 609, 11973411
eigen, 1, 610, 12733981
eigen, 1, 611, 12460987
eigen, 1, 612, 24292101
eigen, 1, 613, 12445188
eigen, 1, 614, 16426894
eigen, 1, 615, 12836434
eigen, 1, 616, 12845180
eigen, 1, 617, 12683677
eigen, 1, 618, 13093166
eigen, 1, 619, 13006424
eigen, 1, 620, 13093937
eigen, 1, 621, 12740073
eigen, 1, 622, 13087596
eigen, 1, 623, 13480064
eigen, 1, 624, 12887129
eigen, 1, 625, 13005221
eigen, 1, 626, 13247467
eigen, 1, 627, 12686010
eigen, 1, 628, 13129465
eigen, 1, 629, 13143010
eigen, 1, 630, 13405103
eigen, 1, 631, 13503507
eigen, 1, 632, 13309403
eigen, 1, 633, 13619566
eigen, 1, 634, 14639232
eigen, 1, 635, 14888773
eigen, 1, 636, 14168949
eigen, 1, 637, 13857834
eigen, 1, 638, 13510120
eigen, 1, 639, 13883552
eigen, 1, 640, 13666654
eigen, 1, 641, 14004280
eigen, 1, 642, 13922816
eigen, 1, 643, 14171664
eigen, 1, 644, 13702412
eigen, 1, 645, 14832165
eigen, 1, 646, 20493159
eigen, 1, 647, 14290087
eigen, 1, 648, 13818078
eigen, 1, 649, 14315144
eigen, 1, 650, 17175803
eigen, 1, 651, 20550897
eigen, 1, 652, 15340982
eigen, 1, 653, 14841904
eigen, 1, 654, 15612413
eigen, 1, 655, 15802850
eigen, 1, 656, 15240063
eigen, 1, 657, 16616571
eigen, 1, 658, 21968483
eigen, 1, 659, 18133242
eigen, 1, 660, 16066055
eigen, 1, 661, 14890516
eigen, 1, 662, 16102945
eigen, 1, 663, 16190329
eigen, 1, 664, 16876139
eigen, 1, 665, 15641247
eigen, 1, 666, 16022283
eigen, 1, 667, 16898571
eigen, 1, 668, 15899923
eigen, 1, 669, 18664992
eigen, 1, 670, 16811587
eigen, 1, 671, 16953293
eigen, 1, 672, 15978521
eigen, 1, 673, 15251344
eigen, 1, 674, 18667677
eigen, 1, 675, 16815575
eigen, 1, 676, 15481667
eigen, 1, 677, 14374806
eigen, 1, 678, 14776701
eigen, 1, 679, 14630868
eigen, 1, 680, 16547190
eigen, 1, 681, 16936552
eigen, 1, 682, 17286380
eigen, 1, 683, 17178937
eigen, 1, 684, 17095100
eigen, 1, 685, 16946891
eigen, 1, 686, 15382480
eigen, 1, 687, 15490753
eigen, 1, 688, 15465938
eigen, 1, 689, 15567588
eigen, 1, 690, 16623043
eigen, 1, 691, 17589780
eigen, 1, 692, 18174751
eigen, 1, 693, 17722280
eigen, 1, 694, 19431112
eigen, 1, 695, 16192132
eigen, 1, 696, 17956179
eigen, 1, 697, 17088358
eigen, 1, 698, 17266332
eigen, 1, 699, 16934438
eigen, 1, 700, 21136779
eigen, 1, 701, 22639825
eigen, 1, 702, 17018497
eigen, 1, 703, 17143451
eigen, 1, 704, 17233280
eigen, 1, 705, 17264198
eigen, 1, 706, 18455598
eigen, 1, 707, 18914601
eigen, 1, 708, 18772474
eigen, 1, 709, 18516813
eigen, 1, 710, 18713403
eigen, 1, 711, 19555396
eigen, 1, 712, 18786811
eigen, 1, 713, 18753017
eigen, 1, 714, 18955378
eigen, 1, 715, 26368806
eigen, 1, 716, 18820905
eigen, 1, 717, 18567889
eigen, 1, 718, 18967110
eigen, 1, 719, 20002076
eigen, 1, 720, 26729575
eigen, 1, 721, 19117902
eigen, 1, 722, 18562890
eigen, 1, 723, 18311357
eigen, 1, 724, 18339911
eigen, 1, 725, 20503479
eigen, 1, 726, 21195028
eigen, 1, 727, 21134625
eigen, 1, 728, 29547181
eigen, 1, 729, 19392911
eigen, 1, 730, 18846042
eigen, 1, 731, 19483109
eigen, 1, 732, 18837025
eigen, 1, 733, 18410113
eigen, 1, 734, 19925171
eigen, 1, 735, 20310857
eigen, 1, 736, 21181323
eigen, 1, 737, 20654562
eigen, 1, 738, 21808071
eigen, 1, 739, 21633102
eigen, 1, 740, 22060115
eigen, 1, 741, 23106943
eigen, 1, 742, 44940442
eigen, 1, 743, 42075916
eigen, 1, 744, 51631332
eigen, 1, 745, 44143814
eigen, 1, 746, 20436282
eigen, 1, 747, 19851031
eigen, 1, 748, 20297251
eigen, 1, 749, 22776562
eigen, 1, 750, 41767817
eigen, 1, 751, 80310571
eigen, 1, 752, 98160480
eigen, 1, 753, 28946532
eigen, 1, 754, 74108060
eigen, 1, 755, 28435030
eigen, 1, 756, 26199077
eigen, 1, 757, 44224366
eigen, 1, 758, 54966221
eigen, 1, 759, 81319718
eigen, 1, 760, 35124196
eigen, 1, 761, 74771658
eigen, 1, 762, 74539191
eigen, 1, 763, 81987934
eigen, 1, 764, 67128367
eigen, 1, 765, 86043950
eigen, 1, 766, 87075199
eigen, 1, 767, 58541604
eigen, 1, 768, 88781386
eigen, 1, 769, 53492211
eigen, 1, 770, 61537305
eigen, 1, 771, 95080701
eigen, 1, 772, 77965994
eigen, 1, 773, 91350446
eigen, 1, 774, 59090616
eigen, 1, 775, 80497332
eigen, 1, 776, 97776920
eigen, 1, 777, 22143462
eigen, 1, 778, 20746616
eigen, 1, 779, 21119507
eigen, 1, 780, 21553002
eigen, 1, 781, 20810796
eigen, 1, 782, 22313592
eigen, 1, 783, 24449357
eigen, 1, 784, 24595081
eigen, 1, 785, 24423539
eigen, 1, 786, 25180171
eigen, 1, 787, 25352625
eigen, 1, 788, 27507938
eigen, 1, 789, 25894504
eigen, 1, 790, 25628183
eigen, 1, 791, 30177265
eigen, 1, 792, 23264339
eigen, 1, 793, 23054265
eigen, 1, 794, 25274298
eigen, 1, 795, 25502396
eigen, 1, 796, 26296329
eigen, 1, 797, 26606212
eigen, 1, 798, 26695019
eigen, 1, 799, 27762215
eigen, 1, 800, 25572509
eigen, 1, 801, 25354338
eigen, 1, 802, 26574242
eigen, 1, 803, 28042262
eigen, 1, 804, 35892772
eigen, 1, 805, 23878795
eigen, 1, 806, 51974907
eigen, 1, 807, 24466600
eigen, 1, 808, 26076916
eigen, 1, 809, 24902730
eigen, 1, 810, 29856233
eigen, 1, 811, 27706070
eigen, 1, 812, 30639375
eigen, 1, 813, 27061037
eigen, 1, 814, 26590613
eigen, 1, 815, 26461711
eigen, 1, 816, 27069503
eigen, 1, 817, 26962412
eigen, 1, 818, 26880768
eigen, 1, 819, 28762456
eigen, 1, 820, 27705840
eigen, 1, 821, 28299336
eigen, 1, 822, 28923870
